sigma,L,T,mean,sem
0.0,4096,0.85,0.6670259356111776,0.0028370660069309546
0.0,4096,0.875,0.6069610796530432,0.0030470216776257407
0.0,4096,0.9,0.5330114731334629,0.0031705166202734315
0.0,4096,0.925,0.4403550204132128,0.003208972331200024
0.0,4096,0.95,0.3357964822584985,0.0030115661407071987
0.0,4096,0.975,0.22832132999257346,0.0025599361285090906
0.0,4096,1.0,0.1355137751863538,0.002006069771371068
0.0,4096,1.025,0.07122597869065546,0.0014390124921545534
0.0,4096,1.05,0.034225118808353355,0.0010765189113432429
0.0,4096,1.075,0.01706252696121388,0.0007343820894048406
0.0,4096,1.1,0.009617466852931777,0.0005379154045602731
0.0,4096,1.125,0.005873556532893939,0.0004288120517653312
0.0,4096,1.15,0.004687210965433206,0.00041496320380229716
0.0,4096,1.175,0.003144072066835913,0.0004107559745172605
0.0,4096,1.2,0.002862961689188447,0.0003925028257017942
0.0,4096,1.225,0.002488285084034381,0.00039721243917079015
0.0,4096,1.25,0.0022798291408567518,0.00038696614873540413
0.0,4096,1.275,0.0008849240496899367,0.00039553415147951514
0.0,4096,1.3,0.0012553785771056804,0.0003879388653117128
0.0,4096,1.325,0.0012774600786166694,0.00038254739572902557
0.0,4096,1.35,0.0011486695104434561,0.00038396987095462495
0.0,4096,1.375,0.0010712758581455902,0.0003843195074353514
0.0,4096,1.4,0.0008324268860764128,0.0003856588229316964
0.0,4096,1.425,0.0009879803526134305,0.0003872036452125264
0.0,4096,1.45,0.0009879912060680462,0.0003802930796473738
0.0,4096,1.475,0.0009214175069944748,0.00037972335598595496
0.0,4096,1.5,0.0005931492472819389,0.0003861912004438108
0.0,4096,1.525,0.0004716599064526868,0.000390042911723732
