sigma,z,L,T,mean,sem
0.25,6,8192,1.9,0.4368382797074877,0.004574161771497426
0.25,6,8192,1.925,0.3886510365195289,0.0044834623942821596
0.25,6,8192,1.95,0.3381243789953775,0.004321568979402829
0.25,6,8192,1.975,0.287188543076613,0.004084132727384704
0.25,6,8192,2.0,0.23794492633724595,0.0037502810631234096
0.25,6,8192,2.025,0.1919830309125277,0.003377704335577473
0.25,6,8192,2.05,0.15010084985190136,0.002960300889984784
0.25,6,8192,2.075,0.11431143272641192,0.0026643889588671065
0.25,6,8192,2.1,0.08529922490077782,0.002255826162244071
0.25,6,8192,2.125,0.06215472019881301,0.0019285885625469636
0.25,6,8192,2.15,0.044387834580765104,0.0016558921415571392
0.25,6,8192,2.175,0.032446663915054234,0.0014263757169416266
0.25,6,8192,2.2,0.02406517652395956,0.0011782555428607115
0.25,6,8192,2.225,0.017131188862915737,0.0009741377468128768
0.25,6,8192,2.25,0.012301184021680449,0.0007852420734122375
0.25,6,8192,2.275,0.009115397169041141,0.0007224273309062409
0.25,6,8192,2.3,0.008016541360757985,0.0006406819766176095
0.25,6,8192,2.325,0.006765929032834698,0.0005848308932810249
0.25,6,8192,2.35,0.005425146847213624,0.0005513265179660225
0.25,6,8192,2.375,0.0037941234896382743,0.000537051361709307
0.25,6,8192,2.4,0.003213328892182161,0.0005427840483489578
0.25,6,8192,2.425,0.003079016747308968,0.0005515107865658548
0.25,6,8192,2.45,0.003435638773760155,0.0005517405078777331
0.25,6,8192,2.475,0.0019026641007362968,0.0005445780797460005
0.25,6,8192,2.5,0.001966321627451681,0.0005471189846996817
