sigma,z,L,T,mean,sem
0.0,6,2048,1.85,0.4126012241829988,0.0033538841592433114
0.0,6,2048,1.875,0.37934853774908617,0.0033162996617620267
0.0,6,2048,1.9,0.3455694266785037,0.0032543770382821554
0.0,6,2048,1.925,0.3119366982990131,0.003187023210870873
0.0,6,2048,1.95,0.27833554355495504,0.003080894160293525
0.0,6,2048,1.975,0.24641200758419546,0.002934682503826198
0.0,6,2048,2.0,0.21440693218122486,0.0027788308896368893
0.0,6,2048,2.025,0.18549604324858374,0.002604755847688579
0.0,6,2048,2.05,0.1596864598710034,0.0024229960795890764
0.0,6,2048,2.075,0.13467814664187647,0.002215765518724889
0.0,6,2048,2.1,0.11354653906003895,0.002036476654289323
0.0,6,2048,2.125,0.09499071627876272,0.0018246418841200405
0.0,6,2048,2.15,0.07860554272036409,0.0016473164112374556
0.0,6,2048,2.175,0.06456643170942652,0.0014931073052752613
0.0,6,2048,2.2,0.053509767126338065,0.0012881172834968016
0.0,6,2048,2.225,0.0443686473428867,0.0011842602951298593
0.0,6,2048,2.25,0.03731233528296128,0.001058340358805258
0.0,6,2048,2.275,0.030622210395644712,0.0009223258981468463
0.0,6,2048,2.3,0.0260448829843137,0.0008374972384054408
0.0,6,2048,2.325,0.022622703002856303,0.0007490576812683758
0.0,6,2048,2.35,0.019195520967644982,0.0006942675019358151
0.0,6,2048,2.375,0.01627845053337221,0.0006596695778827098
0.0,6,2048,2.4,0.013591995333759536,0.0006107391472979303
0.0,6,2048,2.425,0.013560873196018269,0.0006051100449123287
0.0,6,2048,2.45,0.011574427383017612,0.0005743093797202139
0.0,6,2048,2.475,0.0098941149603361,0.0005627853194277339
0.0,6,2048,2.5,0.009068562243755187,0.0005525512473763195
