sigma,L,T,mean,sem
0.25,128,0.5,0.7793299352630734,0.0012936042840070044
0.25,128,0.525,0.763285340646788,0.0013314557220463498
0.25,128,0.55,0.7454308784283437,0.0013736817016122898
0.25,128,0.575,0.7266866362407008,0.0014091421477220806
0.25,128,0.6,0.7057619777475599,0.0014513065128991904
0.25,128,0.625,0.6831835379767833,0.0014913947913501875
0.25,128,0.65,0.6584667234216935,0.0015300312763528176
0.25,128,0.675,0.631648122080955,0.0015685130507918535
0.25,128,0.7,0.6028626720296192,0.0016018773555735678
0.25,128,0.725,0.5718229552521839,0.0016315112802598856
0.25,128,0.75,0.5390700387624033,0.0016507209872706106
0.25,128,0.775,0.5040344082447948,0.0016625162586884651
0.25,128,0.8,0.4680991072176959,0.0016584777498609368
0.25,128,0.825,0.43076272377784014,0.001642259017068483
0.25,128,0.85,0.39299364906229217,0.001608208798757141
0.25,128,0.875,0.3551871662431604,0.001560079288037593
0.25,128,0.9,0.3181810254734733,0.0014969467011274019
0.25,128,0.925,0.2824244798640436,0.0014190236400199706
0.25,128,0.95,0.24877200886221276,0.0013280838535312768
0.25,128,0.975,0.21736621957989946,0.0012331219576948613
0.25,128,1.0,0.18836347001272266,0.001145100136625576
0.25,128,1.025,0.16305085871573888,0.0010433447368885498
0.25,128,1.05,0.14084568969628236,0.0009552471482887227
0.25,128,1.075,0.12137411765769834,0.0008652501930455831
0.25,128,1.1,0.10501385080533802,0.0007686497776732777
0.25,128,1.125,0.0906544042883205,0.0006959837310399518
0.25,128,1.15,0.07930619298674074,0.0006067072557600447
0.25,128,1.175,0.06922025416989874,0.0005282681755475737
0.25,128,1.2,0.0614560599504913,0.00046472726704773897
0.25,128,1.225,0.05482046959951941,0.000407227866724725
0.25,128,1.25,0.04901069103826476,0.000360426768511286
0.25,128,1.275,0.04442750033510029,0.00030737736783592004
0.25,128,1.3,0.040528021924169495,0.00027013278750727415
0.25,128,1.325,0.037070019026352465,0.00025198331493824665
0.25,128,1.35,0.03416701668140814,0.000225700021750891
0.25,128,1.375,0.03187704350737911,0.0002149940776401561
0.25,128,1.4,0.03017103053331448,0.0002024828167357976
0.25,128,1.425,0.028102480926509285,0.00019717991715226523
0.25,128,1.45,0.026586265125407342,0.00019343752414920413
0.25,128,1.475,0.02529661247864272,0.0001874701249824103
0.25,128,1.5,0.02400649201434498,0.00018736962550378158
0.25,128,1.525,0.0230270165619014,0.0001855504319364994
0.25,128,1.55,0.021790459774220974,0.00018505855694954656
0.25,128,1.575,0.02112275736292984,0.00018433888219357742
0.25,128,1.6,0.02042124817684397,0.00018414172272019128
