N,b,r,mean,sem
67108864,14,0,1.0,0.0
67108864,14,1,0.227916827645,2.72318225525e-06
67108864,14,3,0.13335536,2.93977875939e-06
67108864,14,7,0.0852114973857,3.09106867498e-06
67108864,14,15,0.0559679664642,3.05286929431e-06
67108864,14,31,0.0368714419317,3.07224112317e-06
67108864,14,63,0.0240467408669,3.12052385566e-06
67108864,14,127,0.0154019946485,3.16053782832e-06
67108864,14,255,0.00963478901638,3.10303997717e-06
67108864,14,511,0.00586425600273,2.91143474423e-06
67108864,14,1023,0.00346287463823,2.88891404675e-06
67108864,14,2047,0.00198228031058,2.96162236235e-06
67108864,14,4095,0.00109983078594,2.86004881579e-06
67108864,14,8191,0.000597823015973,2.82184747337e-06
67108864,14,16383,0.000309845662119,2.81538463466e-06
67108864,14,32767,0.000157696126395,2.84363553659e-06
67108864,14,65535,8.26197018012e-05,2.82617254335e-06
67108864,14,131071,4.11542555405e-05,2.79475430472e-06
67108864,14,262143,1.88366244256e-05,2.76017314114e-06
67108864,14,524287,6.3682420202e-06,2.71133762321e-06
67108864,14,1048575,2.21586031823e-06,2.68439747794e-06
67108864,14,2097151,9.13924589966e-07,2.77204685893e-06
67108864,14,4194303,2.3049428017e-06,2.80070653999e-06
67108864,14,8388607,-1.2280607084e-06,2.81818575041e-06
67108864,14,16777215,5.74838770171e-07,2.75478064072e-06
67108864,14,33554431,-2.06899243263e-06,3.65727595529e-06
