N,b,r,C4_mean,C4_sem,alpha_mean,alpha_sem
67108864,4,0,1.0,0.0,,
67108864,4,1,0.177560519452,3.06310865469e-06,-0.573382642443,0.000373379692592
67108864,4,3,0.0873459665405,3.1139854221e-06,-0.712908295539,0.000175565031814
67108864,4,7,0.0459673168799,3.06739939459e-06,-0.798995243335,9.20484157682e-05
67108864,4,15,0.0243832557376,3.03372001354e-06,-0.864141305572,0.000222211270163
67108864,4,31,0.0127582537728,2.8571492997e-06,-0.918984865409,0.000257759400455
67108864,4,63,0.0065352530111,2.8654151955e-06,-0.96608170035,0.000546473608383
67108864,4,127,0.00327102139034,2.89316516826e-06,-1.00661922841,0.0007891135199
67108864,4,255,0.00160344245039,2.88499100774e-06,-1.04114061544,0.00141919285268
67108864,4,511,0.00076807208701,2.84770790574e-06,-1.06997000275,0.00288965382267
67108864,4,1023,0.000362022640215,2.93241764792e-06,-1.09285909784,0.00512789016374
67108864,4,2047,0.00016888801054,2.89288139808e-06,-1.10974207678,0.00988965427305
67108864,4,4095,8.05091637458e-05,2.85611393042e-06,-1.12289079741,0.0167739567087
67108864,4,8191,3.26302747132e-05,2.89144729006e-06,-1.13774049442,0.0455231904292
67108864,4,16383,1.45819135566e-05,2.92091059588e-06,-1.14643271239,0.105253700682
67108864,4,32767,6.84937900836e-06,2.87570510338e-06,-1.10578247752,0.354243653662
67108864,4,65535,5.4267459314e-06,2.82216633127e-06,,
67108864,4,131071,2.54094010447e-06,2.77335835089e-06,,
67108864,4,262143,-8.46604112272e-07,2.87089316899e-06,,
67108864,4,524287,1.68145819094e-06,2.93925136652e-06,,
67108864,4,1048575,4.54952427376e-07,2.91691371317e-06,,
67108864,4,2097151,1.2605299606e-06,2.92874434872e-06,,
67108864,4,4194303,-3.4820275617e-06,2.90126868103e-06,,
67108864,4,8388607,2.08902170627e-06,2.89448662148e-06,,
67108864,4,16777215,-3.94431503268e-06,2.91890751029e-06,,
67108864,4,33554431,-2.47857242718e-06,3.32643612304e-06,,
