sigma,L,T,mean,sem
0.25,256,0.5,12.47376373153409,0.034812615623124765
0.25,256,0.525,11.400218733660404,0.0325484359821219
0.25,256,0.55,10.36840351601932,0.030350673756885976
0.25,256,0.575,9.394582472167077,0.028142053731129144
0.25,256,0.6,8.475771928888376,0.026023873729870813
0.25,256,0.625,7.606451690900036,0.02394508425855789
0.25,256,0.65,6.794204056717539,0.021901206754080717
0.25,256,0.675,6.046813445473412,0.019911883994362462
0.25,256,0.7,5.350414816186074,0.017984215270785732
0.25,256,0.725,4.713386734526303,0.016150715790434644
0.25,256,0.75,4.132731849425172,0.014382379309920031
0.25,256,0.775,3.609504900891807,0.012707191224802038
0.25,256,0.8,3.1402051958951542,0.011123141760297564
0.25,256,0.825,2.7235787077748723,0.009648731541642358
0.25,256,0.85,2.3570469331117474,0.00829483189250971
0.25,256,0.875,2.0373245478388338,0.0070603377007193765
0.25,256,0.9,1.7616997352324066,0.00594153376299414
0.25,256,0.925,1.5249965339751477,0.004951699277571363
0.25,256,0.95,1.3233023061912907,0.004070143395028322
0.25,256,0.975,1.154676032983191,0.003330784139196117
0.25,256,1.0,1.0122166661334646,0.002691605218431239
0.25,256,1.025,0.893282596708525,0.002165149192160562
0.25,256,1.05,0.7940563177510482,0.0017213529593467127
0.25,256,1.075,0.7119094388395556,0.0013705708920072179
0.25,256,1.1,0.6430742550247739,0.0010835678465875623
0.25,256,1.125,0.5857806181790497,0.00085932288090325
0.25,256,1.15,0.5378170658747309,0.0006826655813937169
0.25,256,1.175,0.4973435949265151,0.0005420482779525093
0.25,256,1.2,0.4631830359872556,0.0004341053375029576
0.25,256,1.225,0.4341312613126579,0.0003511202984396718
0.25,256,1.25,0.4092542750494628,0.00028429559479761915
0.25,256,1.275,0.38775668308195776,0.0002335957275490584
0.25,256,1.3,0.3690111571727328,0.00019279023802791102
0.25,256,1.325,0.3526976709192793,0.0001622581436646619
0.25,256,1.35,0.3383235345788076,0.0001361914363461433
0.25,256,1.375,0.3257412639073644,0.0001161958652337072
0.25,256,1.4,0.31448909533543584,0.00010090801382469615
0.25,256,1.425,0.3043736849644476,8.875054590930091e-05
0.25,256,1.45,0.2954187359511677,7.79643981961764e-05
0.25,256,1.475,0.28725845172057685,6.919061147107471e-05
0.25,256,1.5,0.27989464802049474,6.251798214583157e-05
0.25,256,1.525,0.2732714977995926,5.675952161313939e-05
0.25,256,1.55,0.2671318550597096,5.151639440406956e-05
0.25,256,1.575,0.26152889016248165,4.756893842419791e-05
0.25,256,1.6,0.2564133509495459,4.419312773156824e-05
