sigma,z,L,T,mean,sem
0.375,6,512,1.863,1.8969746700400043,0.004447162187284135
0.375,6,512,1.875,1.8261591985999988,0.004244631251502993
0.375,6,512,1.887,1.7584350043800074,0.004050785960436436
0.375,6,512,1.9,1.6935360230799987,0.0038625815077037435
0.375,6,512,1.913,1.6310546451400052,0.0036845477461872975
0.375,6,512,1.925,1.5712984249199862,0.003508947970901725
0.375,6,512,1.938,1.5140771980999854,0.0033405592021165877
0.375,6,512,1.95,1.45966966794001,0.003178330833422265
0.375,6,512,1.962,1.4072776048240054,0.003022075330721048
0.375,6,512,1.975,1.3570849019079978,0.0028747945504877985
0.375,6,512,1.988,1.3093482550180096,0.0027318857754170464
0.375,6,512,2.0,1.2635937407059994,0.002593021066650893
0.375,6,512,2.013,1.2197192466999915,0.0024635737611962585
0.375,6,512,2.025,1.178003224005998,0.0023369462857106035
0.375,6,512,2.0380000000000003,1.1382092263619914,0.0022216379355265658
0.375,6,512,2.05,1.0997098999580088,0.0021041543815195395
0.375,6,512,2.062,1.0639065471359992,0.001997057496496943
0.375,6,512,2.075,1.0289691238380003,0.0018949129294582878
0.375,6,512,2.087,0.9957557014859992,0.0017931816439854477
0.375,6,512,2.1,0.964122690885996,0.0016966660482865645
0.375,6,512,2.34,0.5701101870580016,0.0005990126580717093
0.375,6,512,2.6,0.389328607003998,0.00022199680199549613
0.375,6,512,2.9,0.2942045947520024,9.95728981086694e-05
0.375,6,512,3.23,0.24155466553200075,5.826143260129738e-05
0.375,6,512,3.59,0.2093802072699998,4.12923559326552e-05
0.375,6,512,4.0,0.18750882103599814,3.2865733392793826e-05
