sigma,z,L,T,mean,sem
0.375,6,1024,1.913,1.7951975564601603,0.005888103359551275
0.375,6,1024,1.925,1.7121335596924852,0.005550908604136607
0.375,6,1024,1.938,1.6335992994765316,0.00523083042189332
0.375,6,1024,1.95,1.5582538906511831,0.004916104188891747
0.375,6,1024,1.962,1.4875796566049797,0.0046229861914064896
0.375,6,1024,1.975,1.420123946621341,0.004339546999363525
0.375,6,1024,1.988,1.35656709683406,0.00407486000624054
0.375,6,1024,2.0,1.2966370659814797,0.0038234563328218897
0.375,6,1024,2.013,1.2393765551534317,0.0035849158979960813
0.375,6,1024,2.025,1.1858392129734403,0.003359579609954865
0.375,6,1024,2.0380000000000003,1.1348705787551614,0.0031443351551388807
0.375,6,1024,2.05,1.0868402522668004,0.0029432333170640733
0.375,6,1024,2.062,1.04136983729693,0.0027498663323528285
0.375,6,1024,2.075,0.9986318433976351,0.0025689252664168826
0.375,6,1024,2.087,0.9577007542279548,0.0024005095139536174
0.375,6,1024,2.1,0.9194593270623233,0.0022403240035356008
0.375,6,1024,2.28,0.5550334335777258,0.0008193038377733372
0.375,6,1024,2.47,0.38119851684998296,0.0003105053586675014
0.375,6,1024,2.67,0.2913259655425444,0.00014551405951145264
0.375,6,1024,2.9,0.2356132473544829,8.389498165058141e-05
0.375,6,1024,3.14,0.20163611525753689,5.8081349412953576e-05
0.375,6,1024,3.4,0.1784158671424351,4.5792798838680966e-05
0.375,6,1024,3.69,0.16140951804636405,3.85079167895845e-05
0.375,6,1024,4.0,0.14899476946723278,3.400754812703641e-05
