b,mean,sem
1,0.423630218054,0.000508548198719
2,0.362364757874,0.000448622741582
3,0.325907585506,0.000402503702073
4,0.295342791827,0.000399413441908
5,0.270760858946,0.00044701286806
6,0.253033307898,0.000486982931566
7,0.235203296848,0.000626122011316
8,0.216769975344,0.000972811549338
9,0.195402040493,0.00144323993746
10,0.168199923317,0.00206122768249
11,0.13687392709,0.00281133440948
12,0.101682167963,0.00375072922624
13,0.06636026864,0.00428861151697
14,0.0378190105952,0.00442391632305
15,0.0182862063152,0.00419461269621
16,0.0068833958736,0.00407248534302
17,0.0031094001152,0.0039060192365
18,0.001042629632,0.00388031793003
19,0.000589975376,0.003923447228
