b,U_mean,U_sem,Ueq_mean,Ueq_sem
1,-1.359169866,0.0010456827644,-2.94870122273,0.00236428356004
2,-1.457802356,0.00104503612135,-2.79511888402,0.00210596762151
3,-1.513303478,0.00106330967818,-2.69016779416,0.00216456200284
4,-1.551918296,0.00109251146021,-2.59692964363,0.00250354728186
5,-1.576742622,0.00109343369251,-2.50339474731,0.00334078606057
6,-1.594244902,0.00111375670335,-2.40752931874,0.00453068528652
7,-1.606853432,0.00111838484502,-2.28527204301,0.00632952908687
8,-1.615087216,0.00111874560495,-2.13850147235,0.00918159336924
9,-1.620091786,0.00112621454654,-1.97123552765,0.0118661436888
10,-1.622533984,0.0011318472904,-1.80797681106,0.012881343247
11,-1.623663276,0.00113318637066,-1.7125961106,0.012821871355
12,-1.624082216,0.0011333447638,-1.65507566667,0.0121663889197
13,-1.62423895,0.00113382150367,-1.63076841705,0.0120132692719
14,-1.624253726,0.00113717957317,-1.62330356836,0.0115781477434
15,-1.624261476,0.00113736027299,-1.61983708756,0.0113552010708
16,-1.624262668,0.0011377730061,-1.62106941244,0.0113099661912
