sigma,L,nsamp,neq,nmeas,Tmin,Tmax,nT
0.0,64,16000,1000,10000,0.5,1.65,47
0.0,128,16000,1000,10000,0.5,1.6,45
0.0,256,16000,1000,10000,0.5,1.6,45
0.0,512,16000,1000,10000,0.75,1.55,33
0.0,1024,8000,1000,10000,0.75,1.5,31
0.0,2048,4000,1000,10000,0.75,1.5,31
0.0,4096,4000,2000,10000,0.85,1.525,28
0.25,64,16000,1000,10000,0.5,1.65,47
0.25,128,16000,1000,10000,0.5,1.6,45
0.25,256,16000,1000,10000,0.5,1.6,45
0.25,512,8000,1000,10000,0.5,1.525,42
0.25,1024,8000,1000,10000,0.75,1.5,31
0.25,2048,4000,1000,10000,0.75,1.5,31
0.25,4096,4000,2000,10000,0.85,1.525,28
