sigma,L,nsamp,neq,nmeas,Tmin,Tmax,nT
0.0,256,8000,400,8000,1.85,2.5,27
0.0,512,8000,800,16000,1.85,2.5,27
0.0,1024,8000,2000,40000,1.85,2.5,27
0.0,2048,4000,2000,40000,1.85,2.5,27
0.0,4096,4000,2000,40000,1.9,2.5,25
0.0,8192,2000,4000,80000,1.9,2.5,25
0.0,16384,2000,4000,80000,2.0,2.5,14
0.25,256,8000,800,16000,1.85,2.5,27
0.25,512,8000,800,16000,1.85,2.5,27
0.25,1024,8000,1200,24000,1.85,2.5,27
0.25,2048,4000,2000,40000,1.85,2.5,27
0.25,4096,4000,2000,40000,1.9,2.5,25
0.25,8192,2000,4000,80000,1.9,2.5,25
0.25,16384,2000,4000,80000,2.0,2.5,14
0.375,256,32000,1200,24000,1.863,4.0,24
0.375,512,32000,1200,24000,1.863,4.0,26
0.375,1024,16000,1200,24000,1.913,4.0,24
0.375,2048,15998,2000,40000,1.95,4.0,24
0.375,4096,8000,4000,80000,1.962,4.0,28
0.375,8192,7999,4000,80000,1.975,4.0,34
0.375,16384,4000,4000,80000,2.0,2.51,18
