d,L,Q,Av,Median
4,7,0.0,0.000233918,0.0
4,7,0.00041649300000000004,0.000542951,1.1801700000000001e-05
4,7,0.00124948,0.000851638,2.3603400000000002e-05
4,7,0.00208247,0.00116034,3.51667e-05
4,7,0.00291545,0.00146904,4.6074399999999994e-05
4,7,0.00374844,0.00177762,5.80549e-05
4,7,0.00458142,0.00208628,7.01547e-05
4,7,0.00541441,0.00239495,8.1718e-05
4,7,0.006247399999999999,0.00270384,9.340049999999999e-05
4,7,0.00708038,0.0030124,0.00010412899999999999
4,7,0.00791337,0.0033209000000000003,0.00011634799999999999
4,7,0.00874636,0.00362936,0.000128031
4,7,0.00957934,0.00393778,0.000139654
4,7,0.0104123,0.00424605,0.00015109799999999998
4,7,0.0112453,0.00455434,0.00016445
4,7,0.012078299999999998,0.00486268,0.00017690700000000002
4,7,0.0129113,0.00517087,0.00018817200000000001
4,7,0.0137443,0.00547897,0.000198543
4,7,0.0145773,0.00578714,0.00020992799999999999
4,7,0.0154102,0.00609502,0.00022256400000000002
4,7,0.016243200000000003,0.0064028999999999996,0.00023526
4,7,0.0170762,0.00671066,0.000248135
4,7,0.0179092,0.00701834,0.000262201
4,7,0.0187422,0.00732583,0.000275433
4,7,0.0195752,0.00763319,0.000288606
4,7,0.020408199999999998,0.00794046,0.000300885
4,7,0.0212411,0.00824772,0.000314355
4,7,0.0220741,0.00855476,0.000326991
4,7,0.0229071,0.00886198,0.000339806
4,7,0.023740099999999997,0.00916897,0.000353813
4,7,0.0245731,0.00947584,0.00036805800000000005
4,7,0.025406099999999997,0.00978241,0.000382781
4,7,0.026239099999999998,0.010089,0.000395656
4,7,0.0270721,0.0103955,0.000410319
4,7,0.027905000000000003,0.0107018,0.00042456300000000003
4,7,0.028738,0.0110079,0.00043809400000000004
4,7,0.029570999999999997,0.0113139,0.000453591
4,7,0.030404,0.0116198,0.00046825400000000003
4,7,0.031237,0.0119256,0.000484586
4,7,0.03207,0.012231200000000001,0.000501215
4,7,0.032902999999999995,0.0125367,0.000517726
4,7,0.033735900000000006,0.012842,0.000531852
4,7,0.0345689,0.013147299999999999,0.000545502
4,7,0.0354019,0.0134524,0.000561893
4,7,0.0362349,0.013757499999999999,0.000578045
4,7,0.0370679,0.014062100000000001,0.000591039
4,7,0.0379009,0.0143667,0.0006086819999999999
4,7,0.0387339,0.014671200000000002,0.00062257
4,7,0.0395668,0.0149755,0.000641286
4,7,0.04039980000000001,0.0152798,0.000656366
4,7,0.0412328,0.015583700000000002,0.000675202
4,7,0.0420658,0.015887799999999997,0.0006933810000000001
4,7,0.04289880000000001,0.016191499999999998,0.000707686
4,7,0.0437318,0.016495,0.000727117
4,7,0.0445648,0.0167986,0.000744104
4,7,0.0453978,0.0171019,0.000764846
4,7,0.04623069999999999,0.017405,0.0007856489999999999
4,7,0.04706369999999999,0.017707900000000002,0.000810564
4,7,0.0478967,0.0180107,0.0008341080000000001
4,7,0.048729699999999994,0.0183135,0.00085634
4,7,0.049562699999999994,0.018616,0.000875354
4,7,0.0503957,0.018918400000000002,0.000900328
4,7,0.051228699999999995,0.0192207,0.00091821
4,7,0.0520616,0.019523,0.0009399660000000001
4,7,0.0528946,0.019825,0.0009531969999999999
4,7,0.05372759999999999,0.020127000000000003,0.000969171
4,7,0.0545606,0.020428799999999997,0.000994205
4,7,0.0553936,0.0207306,0.00102019
4,7,0.056226599999999995,0.021032299999999997,0.00104112
4,7,0.0570596,0.0213338,0.00106239
4,7,0.05789249999999999,0.0216351,0.00108903
